# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
  rj81.696   2009/12/24   15190.124685   -45.32     1.05   1.140    48633
  rj81.697   2009/12/24   15190.125356   -48.74     1.02   1.185    51059
 rj81.1165   2009/12/26   15192.002763   -65.00     1.05   1.160    52089
 rj81.1166   2009/12/26   15192.003446   -65.08     0.97   1.136    49132
 rj81.1167   2009/12/26   15192.004117   -65.83     1.01   1.165    51966
 rj81.1492   2009/12/27   15193.175557   -56.01     1.16   1.133    48040
 rj81.1493   2009/12/27   15193.176240   -52.57     0.99   1.163    48852
  rj82.193   2009/12/31   15196.964795    48.54     0.97   1.159    52203
  rj82.194   2009/12/31   15196.965489    50.12     0.91   1.142    49220
  rj82.195   2009/12/31   15196.966195    50.39     0.96   1.179    48826
  rj82.757   2010/01/02   15198.973242    82.90     1.09   1.112    49239
  rj82.758   2010/01/02   15198.973971    83.23     0.97   1.107    49253
  rj82.759   2010/01/02   15198.974689    82.09     1.06   1.123    49669
   rj83.54   2010/02/01   15229.080267    78.75     1.00   1.118    49460
   rj83.55   2010/02/01   15229.080996    78.59     1.02   1.103    51786
   rj83.56   2010/02/01   15229.081748    77.07     0.96   1.095    48528
  rj83.339   2010/02/02   15229.884589    61.33     0.97   1.126    50782
  rj83.340   2010/02/02   15229.885306    62.64     0.89   1.127    50076
  rj83.341   2010/02/02   15229.886047    60.80     0.94   1.125    53482
  rj83.938   2010/02/04   15231.812763     7.22     0.98   1.090    49667
  rj83.939   2010/02/04   15231.813527     7.12     0.96   1.086    51386
  rj83.940   2010/02/04   15231.814418     5.47     1.03   1.092    49214
  rj85.123   2010/02/28   15255.815516    73.23     0.91   1.160    51742
  rj85.124   2010/02/28   15255.816442    75.64     1.02   1.158    50063
  rj85.125   2010/02/28   15255.817136    72.99     0.90   1.136    51228
  rj85.398   2010/03/01   15256.906837   100.02     1.00   1.086    52522
  rj85.399   2010/03/01   15256.907508    99.45     0.90   1.113    52038
  rj85.400   2010/03/01   15256.908214    98.77     0.90   1.098    48643
  rj86.187   2010/03/05   15260.882984    35.84     1.18   1.074    32187
  rj86.188   2010/03/05   15260.883632    34.23     1.14   1.051    30902
  rj86.189   2010/03/05   15260.884338    34.85     1.02   1.063    51132
  rj86.190   2010/03/05   15260.885113    37.52     0.97   1.082    51206
  rj86.191   2010/03/05   15260.885877    34.76     0.99   1.070    51082
